Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
513,Unnamed Property,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,390.0,9743,11,1,2,38.0
514,Aastha Palace ,Raipur,Raipur,1 to 5 Year,Ready To Move,Built Up Area,725.0,11836,15,1,2,58.0
515,Shah Alpine ,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,675.0,9555,6,1,1,64.5
516,Poonam Pallazo ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,315.0,9523,1,1,1,30.0
517,Unnamed Property,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,700.0,15230,3,2,2,99.0
518,Rekhi Sai Daffodils ,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,1080.0,7222,5,2,2,78.0
519,Vikas Ritz ,Raipur,Raipur,0 to 1 Year,Ready To Move,Carpet Area,602.0,11627,2,2,2,70.0
520,Unnamed Property,Raipur,Raipur,10+ Year,Ready To Move,Carpet Area,1300.0,16153,3,3,2,210.0
521,Hiranandani Jasper ,Raipur,Raipur,5 to 10 Year,Ready To Move,Carpet Area,750.0,19333,9,2,2,145.0
522,Divya Heights ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,1060.0,5188,7,2,2,55.0
523,Urja Green Valley Feather ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,5714,9,1,1,40.0
524,Saj Shrushti ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,620.0,4032,3,1,1,25.0
525,Unnamed Property,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,750.0,28800,14,2,2,216.0
526,Unnamed Property,Raipur,Raipur,5 to 10 Year,Ready To Move,Carpet Area,711.0,15471,1,2,2,110.0
527,Unnamed Property,Raipur,Raipur,1 to 5 Year,Ready To Move,Built Up Area,710.0,8239,9,1,1,58.5
528,Pushp Kalash Apartment ,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,1015.0,7192,11,2,2,73.0
529,Aurum Q Residences ,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,1265.0,22134,22,3,3,280.0
530,Aurum Q Residences ,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,645.0,27131,21,2,2,175.0
531,Unnamed Property,Raipur,Raipur,10+ Year,Ready To Move,Built Up Area,515.0,11262,4,1,1,58.0
532,Shah Royale ,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,1040.0,13076,4,2,2,136.0
533,Royal Galaxy ,Raipur,Raipur,0 to 1 Year,Ready To Move,Built Up Area,680.0,4852,4,1,1,33.0
534,Ajmera New Era ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,711.0,6615,6,1,2,48.0
535,Piramal Vaikunth ,Raipur,Raipur,0 to 1 Year,Ready To Move,Built Up Area,1670.0,17964,7,3,3,300.0
536,Hiranandani Atlantis ,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,762.0,48556,16,2,2,370.0
537,Paradise Sai Solitaire ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,2015.0,8684,10,3,3,175.0
538,Rustomjee Azziano ,Raipur,Raipur,1 to 5 Year,Ready To Move,Built Up Area,1048.0,15267,33,2,2,160.0
539,Runwal Forests ,Raipur,Raipur,0 to 1 Year,Ready To Move,Super Built Up Area,1135.0,25991,13,3,2,295.0
540,Earth Aditya Heights ,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,10476,13,2,2,110.0
541,Unnamed Property,Raipur,Raipur,1 to 5 Year,Ready To Move,Built Up Area,300.0,18333,5,1,1,55.0
542,Balaji Heights ,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,1200.0,10583,18,2,2,127.0
543,Siddharth Geetanjali Sujay ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,1615.0,10526,9,3,3,170.0
544,Windfield Keshav Winds ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,1100.0,9046,16,2,2,99.5
545,Godrej The Trees ,Raipur,Raipur,0 to 1 Year,Ready To Move,Super Built Up Area,640.0,26250,2,1,1,168.0
546,Dosti Imperia ,Raipur,Raipur,1 to 5 Year,Ready To Move,Built Up Area,1835.0,14604,22,3,3,268.0
547,Shital Tapovan Heights ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,670.0,8955,9,1,2,60.0
548,Navkaar Rabiya Residency ,Raipur,Raipur,5 to 10 Year,Ready To Move,Built Up Area,525.0,4952,4,1,1,26.0
549,Unnamed Property,Raipur,Raipur,1 to 5 Year,Ready To Move,Built Up Area,580.0,6379,1,1,1,37.0
550,Unnamed Property,Raipur,Raipur,5 to 10 Year,Ready To Move,Carpet Area,750.0,22666,13,2,2,170.0
551,Cosmos Empress Park ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,1050.0,10000,11,2,2,105.0
552,Unnamed Property,Raipur,Raipur,5 to 10 Year,Ready To Move,Plot Area,2700.0,27777,2,4,4,750.0
553,Hiranandani Regent Hill ,Raipur,Raipur,0 to 1 Year,Ready To Move,Carpet Area,384.0,36197,8,1,2,139.0
554,The Pearl ,Raipur,Raipur,5 to 10 Year,Ready To Move,Built Up Area,665.0,6766,0,1,1,45.0
555,Marathon Nexzone ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,1215.0,7160,28,2,2,87.0
556,Siddhivinayak Garima ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,980.0,5051,4,2,2,49.5
557,Unnamed Property,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,1050.0,10285,15,2,2,108.0
558,Dnyaneshawari Apartments ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,950.0,12105,7,2,2,115.0
559,Mallhar Bhimashankar Heights ,Raipur,Raipur,0 to 1 Year,Ready To Move,Carpet Area,753.0,25763,14,2,3,194.0
560,Mallhar Bhimashankar Heights ,Raipur,Raipur,0 to 1 Year,Ready To Move,Carpet Area,753.0,23904,19,2,2,180.0
561,Veda CHS ,Raipur,Raipur,10+ Year,Ready To Move,Carpet Area,420.0,21428,5,1,1,90.0
562,Chheda Palladium ,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,935.0,32085,13,3,3,300.0
563,Kohinoor Majestic ,Raipur,Raipur,0 to 1 Year,Ready To Move,Carpet Area,636.0,12421,6,2,1,79.0
564,Kings Court by TCJ Realty ,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,765.0,10718,3,2,2,82.0
565,Unnamed Property,Raipur,Raipur,1 to 5 Year,Ready To Move,Carpet Area,651.0,8448,1,2,2,55.0
566,Omkar Alta Monte ,Raipur,Raipur,1 to 5 Year,Ready To Move,Built Up Area,1307.0,16220,4,2,2,212.0
567,Omkar Alta Monte ,Raipur,Raipur,1 to 5 Year,Ready To Move,Built Up Area,1919.0,16466,6,3,3,316.0
568,Sai Prasad Residency ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,665.0,9774,4,1,1,65.0
569,Indiabulls Greens ,Raipur,Raipur,0 to 1 Year,Ready To Move,Carpet Area,891.0,7744,14,2,2,69.0
570,Unnamed Property,Raipur,Raipur,0 to 1 Year,Ready To Move,Carpet Area,430.0,10813,3,1,2,46.5
571,Orovia Phase 1 ,Raipur,Raipur,0 to 1 Year,Ready To Move,Carpet Area,771.0,16083,3,2,2,124.0
572,Unnamed Property,Raipur,Raipur,5 to 10 Year,Ready To Move,Carpet Area,1500.0,14000,7,4,4,210.0
573,Rna NG Suncity Phase 3 ,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,990.0,12626,8,2,2,125.0
574,Lokhandwala Spring Leaf ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,425.0,16000,2,1,1,68.0
575,Unnamed Property,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,600.0,15333,3,1,1,92.0
576,Hiranandani Northside ,Raipur,Raipur,10+ Year,Ready To Move,Built Up Area,1780.0,19101,8,3,3,340.0
577,Tharwanis Rosa Bella ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,1170.0,8803,17,2,2,103.0
578,Status Vihar ,Raipur,Raipur,5 to 10 Year,Ready To Move,Super Built Up Area,1200.0,7333,5,2,2,88.0
579,Proviso Complex ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,1600.0,9062,6,3,3,145.0
580,Uma Elements ,Raipur,Raipur,1 to 5 Year,Ready To Move,Super Built Up Area,730.0,4794,11,1,2,35.0
581,Unnamed Property,Raipur,Raipur,10+ Year,Ready To Move,Built Up Area,750.0,9066,1,1,1,68.0
582,Mittal Tower CHS ,Raipur,Raipur,10+ Year,Ready To Move,Carpet Area,650.0,18461,4,2,2,120.0
583,Ajmera Aeon ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,1995.0,23909,16,3,4,477.0
584,Unnamed Property,Panaji,Panaji,5 to 10 Year,Ready To Move,Built Up Area,625.0,13280,7,1,2,83.0
585,Amar New Tashkent Terrace CHSL ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,761.0,30000,7,2,2,228.0
586,Amar New Tashkent Terrace CHSL ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,1472.0,30000,7,4,4,442.0
587,Laxmi Avenue D Global City ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,645.0,4496,6,1,2,29.0
588,Sahakar Premier ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1060.0,7735,2,2,2,82.0
589,One Hiranandani Park ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,559.0,27728,5,2,2,155.0
590,Hiranandani Gardens Richmond Tower ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,5000.0,33000,6,5,6,1650.0
591,Unnamed Property,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,2100.0,41666,15,3,4,875.0
592,Unnamed Property,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,2500.0,44000,14,4,5,1100.0
593,Hiranandani Castle Rock ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1250.0,25920,12,2,2,324.0
594,Rustomjee Avenue L1 L2 and L4 ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,432.0,7407,9,1,1,32.0
595,Agarwal Solitaire ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,920.0,4836,4,2,2,44.5
596,Nahars Amrit Shakti ,Panaji,Panaji,5 to 10 Year,Ready To Move,Super Built Up Area,1313.0,20944,16,3,2,275.0
597,Regency Towers ,Panaji,Panaji,10+ Year,Ready To Move,Super Built Up Area,1150.0,11304,5,2,2,130.0
598,Om Shree Apartment ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,645.0,11937,7,1,1,77.0
599,Balaji Mayuresh Delta ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1850.0,9081,3,3,3,168.0
600,Balaji Mayuresh Delta ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1350.0,9777,10,2,2,132.0
601,Unnamed Property,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,670.0,8955,2,2,2,60.0
602,Paradise Sai Crystals ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,1175.0,9361,7,2,2,110.0
603,Unnamed Property,Panaji,Panaji,1 to 5 Year,Ready To Move,Built Up Area,1600.0,8312,10,3,3,133.0
604,Agarwal Solitaire ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,645.0,4728,4,1,2,30.5
605,Kalpataru Sunrise ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,1645.0,15197,10,3,3,250.0
606,Unnamed Property,Panaji,Panaji,5 to 10 Year,Ready To Move,Carpet Area,1024.0,28320,8,2,2,290.0
607,Valencia Apartment ,Panaji,Panaji,10+ Year,Ready To Move,Built Up Area,550.0,20909,2,1,2,115.0
608,Today Global Genesis ,Panaji,Panaji,0 to 1 Year,Ready To Move,Built Up Area,1135.0,8810,7,2,2,100.0
609,Shreeji Arcade ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1465.0,8873,11,3,3,130.0
610,Platinum Balaji Heights ,Panaji,Panaji,5 to 10 Year,Ready To Move,Built Up Area,1200.0,6833,3,2,2,82.0
611,Kalpataru Srishti ,Panaji,Panaji,5 to 10 Year,Ready To Move,Carpet Area,827.0,16324,3,3,2,135.0
612,Giriraj Silver Star ,Panaji,Panaji,5 to 10 Year,Ready To Move,Super Built Up Area,650.0,9923,6,1,1,64.5
613,SKD Pinnacolo ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,765.0,14960,1,1,2,76.0
614,Amisha Empire ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1080.0,8862,9,2,2,95.7
615,Prithvi Pride ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,642.0,13705,5,2,2,88.0
616,Marathon Nexzone ,Panaji,Panaji,1 to 5 Year,Ready To Move,Built Up Area,825.0,7515,14,2,2,62.0
617,Unnamed Property,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,2800.0,35714,7,4,4,1000.0
618,Kalpataru Solitaire ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,3000.0,46000,6,3,5,1380.0
619,Kalpataru Solitaire ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,2800.0,46428,5,3,3,1300.0
620,Unnamed Property,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1900.0,42105,13,3,3,800.0
621,Nahar Jonquille and Jamaica ,Panaji,Panaji,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,17809,8,2,2,187.0
622,New Satara CHS ,Panaji,Panaji,10+ Year,Ready To Move,Super Built Up Area,1050.0,9333,3,2,2,98.0
623,Unnamed Property,Panaji,Panaji,10+ Year,Ready To Move,Super Built Up Area,1100.0,10000,1,2,2,110.0
624,RNA NG Grand Plaza ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1650.0,16666,18,3,3,275.0
625,RNA NG Grand Plaza ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,14166,10,2,2,170.0
626,Satyam Harmony ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1100.0,13636,17,2,2,150.0
627,Satyam Harmony ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1400.0,13214,17,3,2,185.0
628,Bhoomi Gardenia 2 ,Panaji,Panaji,5 to 10 Year,Ready To Move,Super Built Up Area,1130.0,7433,10,2,2,84.0
629,Vicky Apartment ,Panaji,Panaji,10+ Year,Ready To Move,Built Up Area,2064.0,42393,2,4,4,875.0
630,Bhumiraj Hermitage ,Panaji,Panaji,10+ Year,Ready To Move,Super Built Up Area,1693.0,25103,25,3,3,425.0
631,Baba Pearl Heights ,Panaji,Panaji,1 to 5 Year,Ready To Move,Built Up Area,1275.0,6156,2,2,2,78.5
632,Unnamed Property,Panaji,Panaji,10+ Year,Ready To Move,Super Built Up Area,1100.0,19090,6,2,3,210.0
633,L and T Emerald Isle ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,650.95,27960,12,2,2,182.0
634,Rustomjee Avenue L1 L2 and L4 ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,553.0,7866,8,2,2,43.5
635,Right Grishma Heights ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,704.0,29119,8,2,2,205.0
636,Right Grishma Heights ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,850.0,30065,17,3,3,256.0
637,Ekta Parksville ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,373.0,7640,6,1,1,28.5
638,Unnamed Property,Panaji,Panaji,10+ Year,Ready To Move,Carpet Area,700.0,10000,3,2,2,70.0
639,Royce Vaibhavi City ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,650.0,6923,3,2,1,45.0
640,Sai Satyam Residency ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,435.0,8275,2,1,1,36.0
641,Raunak City 3 ,Panaji,Panaji,5 to 10 Year,Ready To Move,Carpet Area,364.0,9890,6,1,1,36.0
642,Piramal Nagar CHS ,Panaji,Panaji,10+ Year,Ready To Move,Super Built Up Area,905.0,30000,1,2,2,195.0
643,Unnamed Property,Panaji,Panaji,10+ Year,Ready To Move,Carpet Area,500.0,16400,2,1,2,82.0
644,Gajora Kalpavruksha Valley ,Panaji,Panaji,0 to 1 Year,Ready To Move,Built Up Area,740.0,5135,1,1,2,38.0
645,Sai Kaveesha ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,418.0,8851,5,1,1,37.0
646,Sai Kaveesha ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,418.0,9569,2,1,1,40.0
647,Royal Galaxy ,Panaji,Panaji,0 to 1 Year,Ready To Move,Built Up Area,685.0,4817,4,1,1,33.0
648,Royal Galaxy ,Panaji,Panaji,0 to 1 Year,Ready To Move,Built Up Area,460.0,5217,3,1,1,24.0
649,Unnamed Property,Panaji,Panaji,1 to 5 Year,Ready To Move,Built Up Area,710.0,6338,7,1,1,45.0
650,Kabra Centroid ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,1250.0,18400,8,2,2,230.0
651,Juhi Residency ,Panaji,Panaji,5 to 10 Year,Ready To Move,Super Built Up Area,1333.0,7501,9,2,2,100.0
652,Unnamed Property,Panaji,Panaji,5 to 10 Year,Ready To Move,Built Up Area,650.0,7076,3,1,1,46.0
653,VUB Veermaa Paradise ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,680.0,9705,11,1,1,66.0
654,Unnamed Property,Panaji,Panaji,5 to 10 Year,Ready To Move,Super Built Up Area,1000.0,7500,2,2,2,75.0
655,Omkar Meridia ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,454.0,24229,8,1,1,110.0
656,Unnamed Property,Panaji,Panaji,10+ Year,Ready To Move,Carpet Area,634.0,22082,3,2,2,140.0
657,Paradise Sai World City ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1300.0,10000,12,2,2,130.0
658,Tejas Heights ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,1154.0,10745,13,2,2,124.0
659,Ganraj Eknath Residency ,Panaji,Panaji,0 to 1 Year,Ready To Move,Built Up Area,490.0,5293,1,1,1,25.9
660,Runwal Forests ,Panaji,Panaji,1 to 5 Year,Ready To Move,Built Up Area,1528.0,19306,43,3,2,295.0
661,Runwal Forests ,Panaji,Panaji,1 to 5 Year,Ready To Move,Built Up Area,1729.0,17061,47,3,3,295.0
662,Runwal Forests ,Panaji,Panaji,1 to 5 Year,Ready To Move,Built Up Area,1729.0,17351,35,3,2,300.0
663,Aadi Allure ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,665.0,23308,3,2,2,155.0
664,Aadi Allure ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,730.0,23972,12,2,2,175.0
665,Lake Primrose ,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,1500.0,22000,10,3,3,330.0
666,Shraddha Autumn Park ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,375.0,25333,9,1,2,95.0
667,Vijay Garden ,Panaji,Panaji,10+ Year,Ready To Move,Super Built Up Area,650.0,8923,7,1,1,58.0
668,Ekta Parksville ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,664.0,6250,10,2,2,41.5
669,Godrej Tranquil ,Panaji,Panaji,23-Dec,Under Construction,Carpet Area,438.0,23972,5,1,2,105.0
670,Unnamed Property,Panaji,Panaji,1 to 5 Year,Ready To Move,Super Built Up Area,1250.0,17600,16,3,3,220.0
671,Deep Auralis The Twins ,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1999.0,15007,4,4,4,300.0
672,Hiranandani Northside ,Panaji,Panaji,10+ Year,Ready To Move,Built Up Area,1780.0,19157,8,3,3,341.0
673,Runwal Forests ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,1080.0,27777,35,3,3,300.0
674,Jewel Heights ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,590.0,6101,4,2,2,36.0
675,Jewel Heights ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,560.0,6250,3,2,2,35.0
676,Jewel Heights ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,490.0,5000,4,1,1,24.5
677,Jewel Heights ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,480.0,4791,2,1,1,23.0
678,Adhiraj Zinnia ,Panaji,Panaji,5 to 10 Year,Ready To Move,Super Built Up Area,1600.0,13125,15,3,3,210.0
679,Indraprastha CHS ,Panaji,Panaji,0 to 1 Year,Ready To Move,Carpet Area,1300.0,38461,3,3,3,500.0
680,Indiabulls Greens ,Panaji,Panaji,1 to 5 Year,Ready To Move,Carpet Area,447.0,8892,23,1,1,39.8
681,Unnamed Property,Panaji,Panaji,0 to 1 Year,Ready To Move,Super Built Up Area,1500.0,12142,19,3,3,170.0
682,Satyam Harmony ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,1205.0,16182,17,3,2,195.0
683,Unnamed Property,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Super Built Up Area,690.0,4057,1,1,1,28.0
684,Unnamed Property,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Built Up Area,1100.0,10000,2,2,2,110.0
685,RNA NG Grand Plaza ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,1299.0,14241,12,2,2,185.0
686,RNA NG Grand Plaza ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,1427.0,19271,9,3,3,275.0
687,RNA NG Grand Plaza ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,1427.0,13314,20,2,2,190.0
688,Juhi Serenity ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,1200.0,14583,18,2,2,175.0
689,Unnamed Property,Gandhinagar,Gandhinagar,10+ Year,Ready To Move,Super Built Up Area,620.0,14516,3,1,1,90.0
690,Kanakia Paris ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Carpet Area,1034.0,33849,10,3,2,350.0
691,Unnamed Property,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,1500.0,15333,4,3,3,230.0
692,Dosti West County ,Gandhinagar,Gandhinagar,0 to 1 Year,Ready To Move,Built Up Area,800.0,14000,15,2,2,112.0
693,Unnamed Property,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,1000.0,16500,3,2,2,165.0
694,Unnamed Property,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Carpet Area,700.0,17142,2,2,2,120.0
695,Hiranandani Gardens Lotus ,Gandhinagar,Gandhinagar,10+ Year,Ready To Move,Built Up Area,850.0,30000,5,2,2,255.0
696,Unnamed Property,Gandhinagar,Gandhinagar,0 to 1 Year,Ready To Move,Built Up Area,817.0,11750,28,2,2,96.0
697,RNA NG Regency ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Built Up Area,580.0,9137,5,1,1,53.0
698,Orovia Phase 1 ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Built Up Area,666.0,11111,19,1,2,74.0
699,Tharwani Krupa ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,980.0,8137,2,2,2,79.8
700,Om Aditya Paraiso ,Gandhinagar,Gandhinagar,0 to 1 Year,Ready To Move,Super Built Up Area,995.0,6331,1,2,2,63.0
701,Unnamed Property,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Carpet Area,750.0,17333,20,2,2,130.0
702,Unnamed Property,Gandhinagar,Gandhinagar,10+ Year,Ready To Move,Built Up Area,1100.0,15454,2,2,2,170.0
703,Unnamed Property,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Super Built Up Area,650.0,5076,1,1,2,33.0
704,Shree Ostwal Point ,Gandhinagar,Gandhinagar,0 to 1 Year,Ready To Move,Carpet Area,308.0,13311,1,1,1,41.0
705,Unnamed Property,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Super Built Up Area,1100.0,11363,6,2,2,125.0
706,Oberoi Splendor ,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Super Built Up Area,1377.0,28867,23,3,2,398.0
707,Indiabulls Greens ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Built Up Area,1140.0,5701,34,2,2,65.0
708,Unnamed Property,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Carpet Area,485.0,4948,0,1,2,26.0
709,Ayodhya Saffron Residency ,Gandhinagar,Gandhinagar,Under Construction,Under Construction,Carpet Area,461.0,26030,10,1,2,120.0
710,Unnamed Property,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Carpet Area,1750.0,42914,8,4,5,751.0
711,Unnamed Property,Gandhinagar,Gandhinagar,10+ Year,Ready To Move,Built Up Area,900.0,12777,2,2,2,115.0
712,Balaji Mayuresh Delta ,Gandhinagar,Gandhinagar,0 to 1 Year,Ready To Move,Super Built Up Area,1850.0,9189,8,3,3,170.0
713,JP North Celeste ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,756.0,8862,12,1,2,67.0
714,JP North Garden City ,Gandhinagar,Gandhinagar,0 to 1 Year,Ready To Move,Super Built Up Area,693.0,8946,22,1,2,62.0
715,Arkade Acropolis ,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Super Built Up Area,630.0,4523,5,1,2,28.5
716,Raj Grandeur ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Super Built Up Area,3360.0,22321,23,4,3,750.0
717,Silicon Park ,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Built Up Area,1600.0,14068,1,3,3,185.0
718,Unique Aurum ,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Super Built Up Area,980.0,9693,4,2,2,95.0
719,Unnamed Property,Gandhinagar,Gandhinagar,10+ Year,Ready To Move,Super Built Up Area,500.0,30833,1,1,1,129.0
720,Aashray Pearl ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Built Up Area,600.0,3999,6,1,1,24.0
721,Hiranandani Rodas Enclave ,Gandhinagar,Gandhinagar,1 to 5 Year,Ready To Move,Carpet Area,727.0,23383,9,2,2,170.0
722,Sunteck West World ,Gandhinagar,Gandhinagar,0 to 1 Year,Ready To Move,Carpet Area,392.0,11479,5,1,2,45.0
723,Unnamed Property,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Super Built Up Area,1500.0,10666,8,3,3,160.0
724,Unnamed Property,Gandhinagar,Gandhinagar,5 to 10 Year,Ready To Move,Built Up Area,1800.0,14444,7,3,3,260.0
725,Unnamed Property,Gandhinagar,Gandhinagar,10+ Year,Ready To Move,Carpet Area,430.0,20930,3,1,2,90.0
